Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
2,1,13,2,3,460,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18,1
2,2,25,1,1,235,3,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6,1
1,1,26,2,2,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0,1
2,1,47,2,2,1276,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23,1
1,1,41,1,1,853,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0,1
2,2,20,1,2,1061,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0,1
1,2,24,1,2,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0,2
1,1,12,2,3,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0,1
2,1,53,1,2,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8,2
2,1,9,1,2,1174,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4,1
1,1,17,2,2,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0,1
1,1,43,2,2,752,3,5,3,5,5,4,5,3,3,3,5,3,3,4,52,29,1
1,1,58,2,2,2139,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0,1
1,2,23,1,2,452,5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44,1
1,1,33,1,1,1561,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0,2
1,1,49,1,3,315,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8,2
2,1,22,2,2,2342,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0,1
1,1,31,1,1,819,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0,2
1,2,34,1,1,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0,1
2,1,39,1,1,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,2
2,1,41,1,1,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0,2
1,1,38,1,1,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0,1
2,1,29,1,1,529,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0,1
1,1,22,2,1,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0,1
1,1,13,1,1,1522,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0,1
2,1,54,1,1,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0,2
2,1,21,2,2,1454,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0,1
1,1,69,1,2,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0,2
2,2,23,1,2,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0,1
2,2,39,1,1,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0,1
1,1,48,1,1,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0,2
2,1,38,2,2,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0,1
2,1,46,1,1,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0,2
2,1,30,1,3,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49,1
2,1,66,2,3,516,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37,1
2,1,45,2,2,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0,1
1,2,25,1,1,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1,1
2,1,64,2,2,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5,2
1,2,50,1,2,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0,1
1,2,41,1,1,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0,1
2,1,31,1,3,404,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3,2
2,1,44,2,2,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0,1
2,2,13,1,2,525,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0,2
1,2,41,1,1,304,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19,2
1,1,61,1,2,347,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11,2
1,1,39,2,2,1773,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18,1
2,1,19,2,1,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0,1
1,1,16,2,2,332,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52,1
1,1,29,2,2,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0,1
1,2,27,1,3,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0,1
1,1,15,2,2,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0,2
2,2,11,1,2,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0,1
1,1,34,2,2,265,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23,1
1,2,26,1,2,488,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0,2
1,1,26,2,2,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0,1
